fattening_day,wts,yr,doy,rad,mint,maxt,vpr,wind,rain,aha,okta,is_observed,source_day,updated_at,season_start_date
47,1,1998,47,6958,-1.6,15.2,0.853,2.5,0,0.654224435,3.984286222,1,47,2026-04-28T16:35:19Z,1998-01-01
48,1,1998,48,6453,5.8,10,0.793,2.9,0,0.646475927,4.664641264,1,48,2026-04-28T16:35:19Z,1998-01-01
49,1,1998,49,8785,-1.6,10.7,0.703,1.6,0,0.638885506,2.416219655,1,49,2026-04-28T16:35:19Z,1998-01-01
50,1,1998,50,9835,-1.9,13.5,0.753,1.3,0,0.656811025,1.263885363,1,50,2026-04-28T16:35:19Z,1998-01-01
51,1,1998,51,10286,-1.6,17.3,0.768,2,0,0.648818374,0.878821727,1,51,2026-04-28T16:35:19Z,1998-01-01
52,1,1998,52,8699,3.7,16.8,0.848,3.5,16,0.641004231,2.784273175,1,52,2026-04-28T16:35:19Z,1998-01-01
53,1,1998,53,5757,7.4,10.1,0.883,2.8,2.2,0.633366193,5.651862205,1,53,2026-04-28T16:35:19Z,1998-01-01
54,1,1998,54,4435,2.1,6.6,0.683,5.6,0,0.62590173,6.775057976,1,54,2026-04-28T16:35:19Z,1998-01-01
55,1,1998,55,12763,-0.6,11.6,0.758,4.6,0,0.618608203,0,1,55,2026-04-28T16:35:19Z,1998-01-01
56,1,1998,56,5481,3.5,12.1,0.923,2.6,0,0.611482882,6.046160658,1,56,2026-04-28T16:35:19Z,1998-01-01
57,1,1998,57,5280,4.7,11,0.948,0.8,0,0.604522961,6.239013798,1,57,2026-04-28T16:35:19Z,1998-01-01
58,1,1998,58,4935,6,11.7,0.943,1.8,0,0.59772557,6.530326842,1,58,2026-04-28T16:35:19Z,1998-01-01
59,1,1998,59,5464,6.9,11.2,0.853,3.9,1.4,0.613844997,6.268345158,1,59,2026-04-28T16:35:19Z,1998-01-01
60,1,1998,60,8512,4.7,10.2,0.738,2.7,0,0.606735159,4.109828693,1,60,2026-04-28T16:35:19Z,1998-01-01
61,1,1998,61,6312,4.1,11.7,0.723,1.6,0,0.599801648,6.515299754,1,61,2026-04-28T16:35:19Z,1998-01-01
62,1,1998,62,6245,1.3,15.4,0.733,3.6,0,0.593040663,6.595485948,1,62,2026-04-28T16:35:19Z,1998-01-01
63,1,1998,63,5507,10.1,16.3,0.903,5.8,2,0.586448418,6.968414769,1,63,2026-04-28T16:35:19Z,1998-01-01
64,1,1998,64,12719,6.9,12.3,0.703,4.5,0,0.580021147,2.668048227,1,64,2026-04-28T16:35:19Z,1998-01-01
65,1,1998,65,12262,1.9,16.2,0.658,2.7,0,0.573755117,3.163268988,1,65,2026-04-28T16:35:19Z,1998-01-01
66,1,1998,66,5620,2.5,14.2,0.863,3.8,1.6,0.567646628,7.030556335,1,66,2026-04-28T16:35:19Z,1998-01-01
67,1,1998,67,5541,8.1,8.9,0.893,4.1,12.6,0.561692025,7.095125677,1,67,2026-04-28T16:35:19Z,1998-01-01
68,1,1998,68,7748,5,6,0.608,4.5,0,0.576272815,6.167487555,1,68,2026-04-28T16:35:19Z,1998-01-01
69,1,1998,69,15255,-4.5,8.9,0.393,2.2,6,0.570074303,1.73240136,1,69,2026-04-28T16:35:19Z,1998-01-01
70,1,1998,70,5749,0.7,5.6,0.723,3.1,7,0.564038867,7.129547868,1,70,2026-04-28T16:35:19Z,1998-01-01
71,1,1998,71,5818,2.3,4.1,0.673,5,0.8,0.558162305,7.140501434,1,71,2026-04-28T16:35:19Z,1998-01-01
72,1,1998,72,11269,-1.6,7.8,0.578,2.9,0,0.5524405,4.571153358,1,72,2026-04-28T16:35:19Z,1998-01-01
73,1,1998,73,5958,0.2,7.8,0.713,2.7,0,0.546869425,7.140884869,1,73,2026-04-28T16:35:19Z,1998-01-01
74,1,1998,74,6028,6,9.3,0.803,4.2,0,0.541445145,7.131405437,1,74,2026-04-28T16:35:19Z,1998-01-01
75,1,1998,75,6151,5.6,11.2,0.903,3.1,0,0.536163816,7.100914195,1,75,2026-04-28T16:35:19Z,1998-01-01
76,1,1998,76,9118,6.4,12,0.838,3.7,0,0.531021683,5.879666075,1,76,2026-04-28T16:35:19Z,1998-01-01
77,1,1998,77,15623,3.5,14.2,0.793,2.9,0,0.544330752,2.306724336,1,77,2026-04-28T16:35:19Z,1998-01-01
78,1,1998,78,15649,1.9,12.5,0.638,3.9,0,0.538996489,2.512889068,1,78,2026-04-28T16:35:19Z,1998-01-01
79,1,1998,79,18680,-0.9,10.7,0.548,3.9,0,0.533807621,0.701260975,1,79,2026-04-28T16:35:19Z,1998-01-01
80,1,1998,80,10018,2.6,11.8,0.663,4.1,0,0.528760099,5.729797375,1,80,2026-04-28T16:35:19Z,1998-01-01
81,1,1998,81,19247,-2.1,10.8,0.423,2.9,0,0.523849989,0.745298742,1,81,2026-04-28T16:35:19Z,1998-01-01
82,1,1998,82,8450,-2.4,7,0.598,3,0,0.51907347,6.500410956,1,82,2026-04-28T16:35:19Z,1998-01-01
83,1,1998,83,10183,-1.5,6.3,0.533,4.1,0,0.514426832,5.852594426,1,83,2026-04-28T16:35:19Z,1998-01-01
84,1,1998,84,17918,-4.4,10.1,0.423,2.5,0,0.509906477,2.007373394,1,84,2026-04-28T16:35:19Z,1998-01-01
85,1,1998,85,18387,-4.5,13.8,0.458,1.2,0,0.505508909,1.818799918,1,85,2026-04-28T16:35:19Z,1998-01-01
86,1,1998,86,11909,5.9,15.5,0.778,1.3,0,0.517790752,5.180961115,1,86,2026-04-28T16:35:19Z,1998-01-01
87,1,1998,87,13306,2.4,19.6,0.828,2.5,0,0.513240555,4.573575298,1,87,2026-04-28T16:35:19Z,1998-01-01
88,1,1998,88,19642,4.2,22.5,0.788,3.1,0,0.508817472,1.186250908,1,88,2026-04-28T16:35:19Z,1998-01-01
89,1,1998,89,19551,5,19.7,0.768,1.9,0,0.504517862,1.386015755,1,89,2026-04-28T16:35:19Z,1998-01-01
90,1,1998,90,16310,5.3,21.9,0.893,3,0.8,0.500338201,3.266961049,1,90,2026-04-28T16:35:19Z,1998-01-01
91,1,1998,91,7962,10.2,13.9,1.123,1.6,2,0.496275078,6.890706239,1,91,2026-04-28T16:35:19Z,1998-01-01
92,1,1998,92,8497,6.7,13.8,1.123,3,4,0.492325194,6.736107212,1,92,2026-04-28T16:35:19Z,1998-01-01
93,1,1998,93,11478,11,20.5,1.113,5.9,12,0.488485354,5.653923564,1,93,2026-04-28T16:35:19Z,1998-01-01
94,1,1998,94,10689,5.3,13.5,0.863,4.4,0,0.48475247,6.059142182,1,94,2026-04-28T16:35:19Z,1998-01-01
95,1,1998,95,10665,5,13.8,0.833,3.5,1,0.496223403,6.113504911,1,95,2026-04-28T16:35:19Z,1998-01-01
96,1,1998,96,11271,3.5,14,0.853,3.4,7.2,0.492368759,5.923700504,1,96,2026-04-28T16:35:19Z,1998-01-01
97,1,1998,97,10582,7.8,13.7,0.908,3.8,3,0.488624255,6.2026256,1,97,2026-04-28T16:35:19Z,1998-01-01
98,1,1998,98,11495,5.5,13.5,0.823,2.6,3,0.484986738,5.928152737,1,98,2026-04-28T16:35:19Z,1998-01-01
99,1,1998,99,12297,3.1,14,0.803,3.7,2.4,0.48145316,5.675381619,1,99,2026-04-28T16:35:19Z,1998-01-01
100,1,1998,100,12559,3.4,10,0.778,2.2,1,0.478020575,5.625611076,1,100,2026-04-28T16:35:19Z,1998-01-01
101,1,1998,101,7515,3,8.7,0.693,2.8,1,0.474686139,7.308617172,1,101,2026-04-28T16:35:19Z,1998-01-01
102,1,1998,102,9340,2.4,8.1,0.723,3.1,5.4,0.471447102,6.795731706,1,102,2026-04-28T16:35:19Z,1998-01-01
103,1,1998,103,9713,0.1,5.9,0.638,2.2,1,0.468300807,6.721760266,1,103,2026-04-28T16:35:19Z,1998-01-01
104,1,1998,104,20222,-2.9,10.7,0.528,3.6,0.4,0.465244685,2.709544787,1,104,2026-04-28T16:35:19Z,1998-01-01
105,1,1998,105,8262,5.9,11.1,0.798,5.8,4,0.475908629,7.163162827,1,105,2026-04-28T16:35:19Z,1998-01-01
106,1,1998,106,16749,1.3,11.7,0.658,4.6,2,0.472760827,4.311905485,1,106,2026-04-28T16:35:19Z,1998-01-01
107,1,1998,107,11905,6.5,11.9,0.748,6.5,9,0.4697056,6.117003109,1,107,2026-04-28T16:35:19Z,1998-01-01
