reference_id,kind,simulator_score,P1,P2,P3,P4,P5,final_TBW,mean_ADG,total_feed_intake,mean_FE,final_beef_production,mean_heat_production,mean_heat_stress,mean_cold_stress
R087,monotonic_mixed_program,0.771686,1,3,4,5,5,907.505027,0.796692,7339.728823,0.294933,480.301609,5.64207,0.774,0.364
R116,monotonic_mixed_program,0.771031,2,3,3,4,5,907.505027,0.86691,7363.714546,0.285403,480.301609,6.056772,0.828,0.322
R100,monotonic_mixed_program,0.767405,2,2,2,4,4,871.00047,0.871848,6682.830275,0.292473,452.443162,6.08893,0.828,0.343
R127,monotonic_mixed_program,0.766026,3,3,3,4,4,871.00047,0.869536,6880.686085,0.29408,452.443162,6.066784,0.8505,0.308
R132,monotonic_mixed_program,0.765837,3,3,4,5,5,907.505027,0.80251,7351.941159,0.288891,480.301609,5.633286,0.7965,0.3465
R060,monotonic_mixed_program,0.764983,1,2,2,2,2,907.414745,0.858733,7828.504317,0.294247,480.212519,6.08281,1.1205,0.3465
R093,monotonic_mixed_program,0.76498,1,5,5,5,5,907.505027,0.858974,7868.604855,0.294024,480.301609,6.084566,1.1025,0.3465
R063,monotonic_mixed_program,0.764908,1,2,2,2,5,907.505027,0.858728,7836.626618,0.294209,480.301609,6.082776,1.1205,0.3465
R079,monotonic_mixed_program,0.764815,1,2,5,5,5,907.505027,0.858704,7868.804521,0.293902,480.301609,6.082831,1.1025,0.3465
R069,monotonic_mixed_program,0.764495,1,2,2,5,5,907.505027,0.858703,7859.541108,0.294029,480.301609,6.082626,1.1205,0.3465
R088,monotonic_mixed_program,0.763471,1,3,5,5,5,907.505027,0.859058,7871.088447,0.29266,480.301609,6.084355,1.107,0.3465
R066,monotonic_mixed_program,0.763218,1,2,2,3,5,907.505027,0.8593,7914.189347,0.293746,480.301609,6.085468,1.1385,0.3465
R061,monotonic_mixed_program,0.762216,1,2,2,2,3,905.784376,0.858842,7951.60497,0.293509,478.952169,6.083399,1.1205,0.3465
R106,monotonic_mixed_program,0.762192,2,2,3,4,4,871.00047,0.869045,6872.363763,0.289438,452.443162,6.068089,0.8235,0.322
R111,monotonic_mixed_program,0.762003,2,2,4,5,5,907.505027,0.802019,7343.618837,0.284249,480.301609,5.634591,0.7695,0.3605
R016,single_phase_swap,0.761868,3,3,4,3,3,905.784376,0.803222,7521.56775,0.287908,478.952169,5.636752,0.8145,0.3465
R115,monotonic_mixed_program,0.760848,2,3,3,4,4,871.00047,0.8694,6874.64769,0.288196,452.443162,6.069614,0.828,0.322
R120,monotonic_mixed_program,0.760659,2,3,4,5,5,907.505027,0.802374,7345.902764,0.283007,480.301609,5.636116,0.774,0.3605
R064,monotonic_mixed_program,0.760526,1,2,2,3,3,905.784376,0.859414,8029.167699,0.293046,478.952169,6.086091,1.1385,0.3465
