comfort_error_mean,comfort_violation_rate,conflict_penalty_mean,context_counts_json,dominant_climate_context_id,energy_kwh_normalized,first_timestamp,last_timestamp,learning_elapsed_sec,mpc_cost_mean,oscillation_penalty_mean,period,prediction_error_mean,reward_mean,rl_q_delta_mean,rl_td_error_mean,steps,switching_penalty_mean,uncertainty_radius_mean
0.004456052022417155,0.0,0.007740162037037037,"{""C02"": 288, ""C10"": 576}",C10,206.74434458333172,2016-07-15 00:00:00,2016-07-17 23:55:00,1606.8003129959106,37014037.77781648,0.025173611111111112,2016-W28,0.0,0.9437396510591592,0.006206635455391034,0.07758294319238786,864,0.05386284722222223,0.234163960363416
0.004446664708646617,0.0,0.0025731646825396825,"{""C02"": 1440, ""C10"": 576}",C02,539.1435741666638,2016-07-18 00:00:00,2016-07-24 23:55:00,5231.917063951492,433243832240.9198,0.017392113095238096,2016-W29,0.0,0.9442871827169858,0.0014794068626237849,0.018492585782797343,2016,0.0318514384920635,0.04999999999999822
0.004305428023182949,0.0,0.005456349206349206,"{""C10"": 576, ""C02"": 1152, ""C08"": 288}",C02,557.5123787500015,2016-07-25 00:00:00,2016-07-31 23:55:00,8627.67926645279,9720943860329550.0,0.027064732142857144,2016-W30,0.0,0.9413866723613981,0.0027220743265364148,0.03402592908170518,2016,0.053800843253968236,0.04999999999999822
0.004272174838137003,0.0,0.004371279761904762,"{""C10"": 2016}",C10,544.1482074999958,2016-08-01 00:00:00,2016-08-07 23:55:00,11968.433855056763,2.2512013875989748e+20,0.025452628968253968,2016-W31,0.0,0.942757390532651,0.0008710072558769516,0.010887590698461928,2016,0.044686259920634915,0.04999999999999822
0.004320619648078526,0.0,0.006200396825396825,"{""C10"": 2016}",C10,638.7772720833383,2016-08-08 00:00:00,2016-08-14 23:55:00,15308.170191287994,5.228850759587701e+24,0.029792906746031748,2016-W32,0.0,0.9409309577680017,0.0006933684284282012,0.008667105355352513,2016,0.05758308531746031,0.04999999999999822
0.004258273026315792,0.0,0.00496031746031746,"{""C10"": 2016}",C10,538.8285737499981,2016-08-15 00:00:00,2016-08-21 23:55:00,18673.827220916748,1.1986907399432723e+29,0.025669642857142856,2016-W33,0.0,0.943666531029971,0.0005340265604210754,0.006675332005263445,2016,0.04725942460317461,0.04999999999999822
0.004262272869674184,0.0,0.004588293650793651,"{""C10"": 2016}",C10,445.0763349999929,2016-08-22 00:00:00,2016-08-28 23:55:00,22024.483274936676,2.822538786254301e+33,0.018291170634920636,2016-W34,0.0,0.9437628560319211,0.00045657308581777785,0.005707163572722226,2016,0.037121775793650794,0.04999999999999822
0.004283414917502099,0.0,0.0030691964285714285,"{""C10"": 1440, ""C02"": 576}",C10,539.6966483333318,2016-08-29 00:00:00,2016-09-04 23:55:00,25605.629328727722,6.664706393755569e+37,0.019810267857142856,2016-W35,0.0,0.9443858271830612,0.0004010617682078981,0.005013272102598741,2016,0.03764880952380953,0.04999999999999822
0.004208979088345864,0.0,0.006014384920634921,"{""C10"": 1440, ""C02"": 576}",C10,682.3427908333468,2016-09-05 00:00:00,2016-09-11 23:55:00,29186.745195150375,1.5091560731299936e+42,0.028273809523809524,2016-W36,0.0,0.9275702038202723,0.0015344959766231702,0.019181199707789698,2016,0.05919518849206348,0.04999999999999822
0.004227484205304934,0.0,0.006479414682539683,"{""C10"": 864, ""C02"": 1152}",C02,769.3294575000101,2016-09-12 00:00:00,2016-09-18 23:55:00,32670.52718925476,3.4323401314116114e+46,0.03093998015873016,2016-W37,0.0,0.9298050210302586,0.0008446998657743084,0.01055874832217885,2016,0.0644345238095238,0.04999999999999822
