comfort_error_mean,comfort_violation_rate,conflict_penalty_mean,context_counts_json,dominant_climate_context_id,energy_kwh_normalized,first_timestamp,last_timestamp,learning_elapsed_sec,mpc_cost_mean,oscillation_penalty_mean,period,prediction_error_mean,reward_mean,rl_q_delta_mean,rl_td_error_mean,steps,switching_penalty_mean,uncertainty_radius_mean
0.004390165011179905,0.0,0.0046721813725490195,"{""C02"": 2880, ""C10"": 1728, ""C08"": 288}",C02,1303.4002974999958,2016-07-15 00:00:00,2016-07-31 23:55:00,8627.67926645279,4002919990598508.0,0.02274816176470588,2016-07,0.0,0.9429962316897688,0.0028253102758996618,0.03531637844874586,4896,0.044773794934640496,0.08249952241708276
0.0042777504833993625,0.0,0.004676299283154122,"{""C10"": 8928}",C10,2384.272701666474,2016-08-01 00:00:00,2016-08-31 23:55:00,23535.70801758766,4.759889736191147e+34,0.0237315188172043,2016-08,0.0,0.9431800694197496,0.000604390483406015,0.007554881042575173,8928,0.04476226478494629,0.05000000000000753
0.004152355994152059,0.0,0.005172164351851852,"{""C10"": 4608, ""C02"": 2880, ""C05"": 1152}",C10,3365.525628749706,2016-09-01 00:00:00,2016-09-30 23:55:00,38586.01685714722,4.079809798048114e+76,0.027141203703703702,2016-09,0.0,0.9232465022270974,0.0015833849321264199,0.019792311651580286,8640,0.05572916666666673,0.0500000000000074
0.003502027064468972,0.0,0.005026321684587814,"{""C07"": 576, ""C05"": 6336, ""C06"": 576, ""C00"": 864, ""C11"": 288, ""C08"": 288}",C05,6898.753212916838,2016-10-01 00:00:00,2016-10-31 23:55:00,54037.046708106995,inf,0.030132728494623652,2016-10,0.0,0.8645594472877896,0.0026337081838080515,0.0329213522976007,8928,0.06360495071684594,0.05000000000000753
0.0021238417397660813,0.0,0.06811342592592592,"{""C02"": 288, ""C05"": 2016, ""C07"": 1728, ""C00"": 2592, ""C11"": 864, ""C06"": 1152}",C00,13785.44277416701,2016-11-01 00:00:00,2016-11-30 23:55:00,69146.42362689972,inf,0.03723234953703704,2016-11,0.0,0.7713196054340192,0.0026365900447968965,0.03295737555996125,8640,0.13175607638888884,0.0500000000000074
0.0012441430272590068,0.0,0.06351506496415771,"{""C03"": 1728, ""C00"": 3168, ""C04"": 1152, ""C11"": 1440, ""C07"": 1440}",C00,9810.492520834143,2016-12-01 00:00:00,2016-12-31 23:55:00,85492.28835701942,inf,0.04000056003584229,2016-12,0.0,0.7503240129230349,0.0023244359327795686,0.029055449159744704,8928,0.1491067428315411,0.05000000000000753
0.000989002045604604,0.0,0.09104082661290322,"{""C11"": 1728, ""C00"": 5184, ""C07"": 288, ""C03"": 864, ""C09"": 864}",C00,9734.013764167523,2017-01-01 00:00:00,2017-01-31 23:55:00,102042.94266033173,inf,0.04287074372759857,2017-01,0.0,0.7345522951154903,0.0015416851906174154,0.01927106488271779,8928,0.19059951836917555,0.05000000000000753
0.0007448021747076019,0.0,0.16048177083333334,"{""C11"": 1440, ""C03"": 1152, ""C04"": 2592, ""C00"": 2880}",C00,12751.481421667659,2017-02-01 00:00:00,2017-02-28 23:55:00,116375.69441819191,inf,0.06063213045634921,2017-02,0.0,0.6650127630407753,0.0019575355302487675,0.024469194128109467,8064,0.29180276537698385,0.050000000000007115
0.0020649768911526114,0.0,0.007777497759856631,"{""C00"": 3168, ""C11"": 3744, ""C07"": 576, ""C03"": 1440}",C11,9892.18652875088,2017-03-01 00:00:00,2017-03-31 23:55:00,132182.8681385517,inf,0.026440692204301074,2017-03,0.0,0.8034258149615372,0.0007643089074839547,0.009553861343549396,8928,0.05316392249103947,0.05000000000000753
0.003302366959064326,0.0,0.004014756944444444,"{""C08"": 864, ""C11"": 864, ""C03"": 576, ""C07"": 1440, ""C00"": 288, ""C05"": 1728, ""C06"": 2592, ""C02"": 288}",C06,6875.070923333583,2017-04-01 00:00:00,2017-04-30 23:55:00,147084.00996804237,inf,0.023936631944444446,2017-04,0.0,0.8551499964909701,0.0012369042699368119,0.015461303374210098,8640,0.0522737268518519,0.0500000000000074
