comfort_error_mean,comfort_violation_rate,conflict_penalty_mean,context_counts_json,dominant_climate_context_id,energy_kwh_normalized,first_timestamp,last_timestamp,learning_elapsed_sec,mpc_cost_mean,oscillation_penalty_mean,period,prediction_error_mean,reward_mean,rl_q_delta_mean,rl_td_error_mean,steps,switching_penalty_mean,uncertainty_radius_mean
0.004254022435897427,0.0,0.004866119123931624,"{""C02"": 5760, ""C10"": 15264, ""C08"": 288, ""C05"": 1152}",C10,7053.198627916307,2016-07-15 00:00:00,2016-09-30 23:55:00,38586.01685714722,1.56915761463389e+76,0.024828614672364673,2016-Q3,0.0,0.9354732456096363,0.0014649734312778624,0.018312167890973355,22464,0.04898281695156701,0.057083229244718724
0.0022918100547451078,0.0,0.04530636699879227,"{""C07"": 3744, ""C05"": 8352, ""C06"": 1728, ""C00"": 6624, ""C11"": 2592, ""C08"": 288, ""C02"": 288, ""C03"": 1728, ""C04"": 1152}",C05,30494.688507910807,2016-10-01 00:00:00,2016-12-31 23:55:00,85492.28835701942,inf,0.03577285250603865,2016-Q4,0.0,0.7956627764082149,0.002530436619110014,0.031630457738875364,26496,0.11463853034420268,0.049999999999975196
0.0012836423103476347,0.0,0.08396508487654321,"{""C11"": 6912, ""C00"": 11232, ""C07"": 864, ""C03"": 3456, ""C09"": 864, ""C04"": 2592}",C00,32377.68171457618,2017-01-01 00:00:00,2017-03-31 23:55:00,132182.8681385517,inf,0.04273726851851852,2017-Q1,0.0,0.7366408753058789,0.0014032979098678531,0.01754122387334833,25920,0.17474604552469186,0.049999999999975654
0.003882148259269954,0.0,0.004621680402930403,"{""C08"": 864, ""C11"": 864, ""C03"": 864, ""C07"": 1440, ""C00"": 288, ""C05"": 4896, ""C06"": 4896, ""C02"": 6048, ""C10"": 6048}",C02,13457.305018341805,2017-04-01 00:00:00,2017-06-30 23:55:00,177824.05119609833,inf,0.025447859432234432,2017-Q2,0.0,0.9027661021674754,0.0007899042454983818,0.009873803068729765,26208,0.0532543498168497,0.049999999999975425
0.004259116192314992,0.0,0.005050290609903382,"{""C02"": 3744, ""C10"": 20448, ""C05"": 2304}",C10,8119.544566249412,2017-07-01 00:00:00,2017-09-30 23:55:00,224657.32416653633,1.0772544477270923e+274,0.024598052536231884,2017-Q3,0.0,0.9374970242227425,0.0003209402967760046,0.00401175370970008,26496,0.04961692330917873,0.049999999999975196
0.002578281667143394,0.0,0.029775720863526572,"{""C02"": 288, ""C05"": 6336, ""C07"": 2592, ""C03"": 1440, ""C00"": 6336, ""C06"": 3168, ""C08"": 1440, ""C04"": 3744, ""C11"": 1152}",C05,25259.891265412403,2017-10-01 00:00:00,2017-12-31 23:55:00,271092.02900648117,inf,0.034163175573671496,2017-Q4,0.0,0.8025083733080844,0.0005612473878768347,0.007015592348460517,26496,0.10088881340579692,0.049999999999975196
0.0019390684494801798,0.0,0.05278018904320988,"{""C07"": 3744, ""C11"": 4608, ""C00"": 4032, ""C04"": 4896, ""C03"": 3168, ""C08"": 1440, ""C06"": 2592, ""C05"": 1440}",C04,32765.54880082895,2018-01-01 00:00:00,2018-03-31 23:55:00,316636.02815008163,inf,0.03989814814814814,2018-Q1,0.0,0.7689303995025106,0.0008211236328066773,0.010264045410083559,25920,0.1281182484567897,0.049999999999975654
0.003714139766483524,0.0,0.006856208028083028,"{""C05"": 3744, ""C06"": 8352, ""C07"": 1152, ""C03"": 1440, ""C00"": 864, ""C08"": 3744, ""C11"": 576, ""C10"": 4320, ""C02"": 2016}",C06,15446.311780424398,2018-04-01 00:00:00,2018-06-30 23:55:00,362530.7027668953,inf,0.0257483402014652,2018-Q2,0.0,0.888401213154332,0.000668714337980671,0.008358929224758433,26208,0.05757259233821718,0.049999999999975425
0.004331730062531786,0.0,0.005154079861111111,"{""C10"": 14976, ""C02"": 8928, ""C06"": 576, ""C05"": 2016}",C10,8631.375095416446,2018-07-01 00:00:00,2018-09-30 23:55:00,408278.4171485901,8.373234030269341e+125,0.0256901985205314,2018-Q3,0.0,0.9372874821551563,0.00021764332481688067,0.0027205415602110324,26496,0.05086947086352652,0.049999999999975196
0.002512246764159033,0.0,0.016073180857487924,"{""C05"": 3168, ""C10"": 288, ""C06"": 2304, ""C11"": 7488, ""C07"": 1440, ""C00"": 5760, ""C08"": 1728, ""C03"": 4032, ""C04"": 288}",C11,26180.01131999553,2018-10-01 00:00:00,2018-12-31 23:55:00,455268.5968263149,inf,0.028348618659420288,2018-Q4,0.0,0.8162076498027471,0.0003718129980963508,0.004647662476204455,26496,0.0704667685688405,0.049999999999975196
0.0013955882066276862,0.0,0.06182725694444444,"{""C11"": 4608, ""C09"": 1152, ""C01"": 2304, ""C03"": 4896, ""C00"": 8064, ""C07"": 4032, ""C04"": 576, ""C06"": 288}",C00,28792.105734994,2019-01-01 00:00:00,2019-03-31 23:55:00,501022.779116869,inf,0.038172743055555555,2019-Q1,0.0,0.7510976492925884,0.0008790816203830784,0.010988520254788438,25920,0.14486140046296248,0.049999999999975654
0.0028336036184210614,0.0,0.004535590277777778,"{""C09"": 288, ""C11"": 1152, ""C00"": 864, ""C03"": 576}",C11,3112.2105745831927,2019-04-01 00:00:00,2019-04-10 23:55:00,505986.7282938957,2.893481423578818e+292,0.02476128472222222,2019-Q2,0.0,0.8000560887736949,0.00035222349612659394,0.004402793701582435,2880,0.04941406249999999,0.049999999999999475
