fattening_day,doy,rad,mint,maxt,vpr,wind,rain,aha,okta,growth_start_date,growth_date,tbw_kg,genetic_potential_tbw_kg,feed_intake_kg_dm_day,feed1_available_kg_dm_day,feed2_available_kg_dm_day,feed3_available_kg_dm_day,feed4_available_kg_dm_day,beef_production_kg,beef_event_kg,me_uptake_mj_day,heat_production,genotype,heat_stress,cold_stress,digestion_cap,energy,protein,scale,breed,diet,sex_animal,housing,case_id
11,11,0,8.18013,17.71383,0.768,1.45,0.0,0.860148369,1.664654373,1998-01-01,1998-01-11,52.799272730940444,57.296128330855595,0.0,0.0,0.0,0.0,0.0,19.60117797198946,0.0,0.0,5.892791191117128,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
12,12,0,7.6601099999999995,15.72042,0.808,1.35,0.0,0.852996519,5.938656774,1998-01-01,1998-01-12,53.870901150511365,58.479059269231584,0.0,0.0,0.0,0.0,0.0,19.97089842857445,0.0,0.0,5.911989385879364,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
13,13,0,12.42696,17.88717,0.903,2.5,2.4,0.845699807,4.582023328,1998-01-01,1998-01-13,54.94481013287207,59.66386386828077,0.0,0.0,0.0,0.0,0.0,20.34481436224079,0.0,0.0,5.9313356210026225,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
14,14,0,10.43355,13.20699,0.828,1.7,0.0,0.87732203,6.063786278,1998-01-01,1998-01-14,56.0204599431844,60.85052989456642,0.0,0.0,0.0,0.0,0.0,20.722717873296332,0.0,0.0,5.950926155327005,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
15,15,0,4.36665,10.60689,0.728,1.55,7.8,0.868981344,5.659010055,1998-01-01,1998-01-15,57.09738803820484,62.0390450914399,0.0,0.0,0.0,0.0,0.0,21.10442578736565,0.0,0.0,5.970835313678983,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
16,16,0,9.91353,13.20699,0.903,2.5,9.0,0.860539152,6.26130705,1998-01-01,1998-01-16,58.17519353770942,63.229397179553075,0.0,0.0,0.0,0.0,0.0,21.489774969319647,0.0,0.0,5.991120532872474,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
17,17,0,8.61348,11.906939999999999,0.713,1.2,0.0,0.852011406,1.911606813,1998-01-01,1998-01-17,59.253525637059504,64.42157385737073,0.0,0.0,0.0,0.0,0.0,21.878618793768716,0.0,0.0,6.011826103961628,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
18,18,0,3.3266099999999996,12.77364,0.708,2.0,14.0,0.843413505,6.371350225,1998-01-01,1998-01-18,60.33207478035586,65.6155628016802,0.0,0.0,0.0,0.0,0.0,22.270824427906994,0.0,0.0,6.03298599432423,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
19,19,0,10.08687,13.29366,0.828,2.5,4.0,0.83476026,6.069294969,1998-01-01,1998-01-19,61.41056581497341,66.81135166810117,0.0,0.0,0.0,0.0,0.0,22.666270699845786,0.0,0.0,6.054626005969055,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
20,20,0,6.273389999999999,8.006789999999999,0.638,2.5,0.0,0.826065862,6.266167152,1998-01-01,1998-01-20,62.488752598718776,68.00892809159382,0.0,0.0,0.0,0.0,0.0,23.064846398567873,0.0,0.0,6.076765446067581,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
21,21,0,7.48677,9.30684,0.598,2.5,0.0,0.817343865,5.476302909,1998-01-01,1998-01-21,63.56641369201194,69.20827968696511,0.0,0.0,0.0,0.0,0.0,23.46644889847469,0.0,0.0,6.0994184332691574,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
22,22,0,3.4132799999999994,7.05342,0.478,2.05,0.0,0.808607167,2.582911943,1998-01-01,1998-01-22,64.64334887402228,70.40939404937455,0.0,0.0,0.0,0.0,0.0,23.870983032393184,0.0,0.0,6.1225949282494,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
23,23,0,3.5866199999999995,8.96016,0.508,0.8,0.0,0.799868001,0.0,1998-01-01,1998-01-23,65.71937629379991,71.6122587548382,0.0,0.0,0.0,0.0,0.0,24.27836015778982,0.0,0.0,6.14630155293243,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
24,24,0,1.6798799999999998,5.753369999999999,0.508,1.25,0.4,0.791137932,6.521872881,1998-01-01,1998-01-24,66.79433011729877,72.8168613607317,0.0,0.0,0.0,0.0,0.0,24.688497375364083,0.0,0.0,6.10524438588075,0.0,0.0,3.5,0.0,0.0,0.5,1,6,5,0,0,5
25,25,0,4.88667,6.1000499999999995,0.523,1.4,0.4,0.782427851,6.518498835,1998-01-01,1998-01-25,67.86919428167134,74.02318940629118,0.21501274158157918,0.013470568374440493,0.2015421732071387,0.0,0.0,25.07485768665968,0.0,2.127275839022955,6.229469027970326,0.0,0.0,3.5,2.5,0.0,0.0,1,6,5,0,0,5
